Identification number:,Registration date:,Section,Subsection,(Organisation) name,Legal status:,Website address:,Head office country,Head office address,Head office city,Head office post code,Head office post box,Head office phone,Belgium office address,Belgium office city,Belgium office post code,Belgium office post box,Belgium office phone,Person with legal responsibility,Position:,Person in charge of EU relations,Position:,Goals / remit,Level of interest,EU initiatives,Relevant communication,High-level groups,Consultative committees,Expert groups,Inter groups,Industry forums ,Number of persons involved:,Full time equivalent (FTE),Number of EP accredited persons,Persons accredited for access to European Parliament premises,Fields of interest,Membership,Member organisations,Financial year: Start Date,Financial year: End Date,Estimate of costs (absolute amount),Estimate of costs (as a range),Turnover (absolute amount),Turnover (as a range),Clients,Procurement:,Source,Grants:,Source
784965722255-36,13/06/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Sacchi Consulting (SACO),independent cabinet,http://www.sacchiconsulting.com,Belgium,"Avenue des Gaulois, 33",Brussels,1040,,(+32)471962351,"Avenue des Gaulois, 33",Brussels,1040,,(+32)471962351,Andrea Sacchi,Founder,Andrea Sacchi,Founder,assisting companies and group in EU laws applications,European,"Internal market regulation in terms of horizontal regulatory policies and specific sector legislation such as: construction products; pharmaceuticals; chemicals; 
other field is transports;",,,,,,,1,1,,,"Trade, Competition, Youth, Transport, Communication",,,01/01/2015,01/12/2015,,50000-99999,,100000-499999,FRABO S.p.A.,,,,
548985521505-28,23/04/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Marconsult (MC),bvba,http://www.marconsult.be,Belgium,Nonnenstraat 23,Turnhout,2300,,(+32)496077102,,,,,,Marino Marysse,zaakvoerder,Marino Marysse,zaakvoerder,"Hulp en ondersteuning aan organisaties, instellingen, ondernemingen bieden in hun zoektocht naar het juiste concept binnen de Europese instellingen. Het bijsturen, opvolgen of zoeken naar de juiste concepten en wetten binnen Europa. Behartigen van de belangen van groepen en organisaties binnen Europa.",global,"thema's als Energy, milieu, urban and rural development, digital growth",worden opgetart,,,,,,3,0.75,1,Marysse Marino,"Economic and Financial Affairs, Agriculture and Rural Development, Humanitarian Aid, Audiovisual and Media, Trade, Competition, Consumer Affairs, Culture, Development, Education, Enlargement, Employment and Social Affairs, Energy, Enterprise, Environment, Youth, Internal Market, Regional Policy, Research and Technology, Trans-European Networks, Public Health, Information Society, Sport, Transport, Climate Action, Financial Stability, Financial Services and Capital Markets Union","Dima vzw, Turnhout iedereen mee, Bouwunie, Unizo,","www.dimabeurs.be 
www.unizo.be 
www.bouwunie.be 
www.turnhoutiedereenmee.be",01/01/2015,01/12/2015,,0-9999,,0-99999,Monde Trade Kft,,,,
847092021860-20,24/05/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Windrush Ventures No 3,LLP,,United Kingdom,50 Broadway,London,SW1H 0BL,,(+44)2072684500,,,,,,David Lyon,Managing Director,Andreas Baumgartner,Partner,"Windrush Ventures No 3 LP (UK) is a strategy consulting firm that specialises in the delivery and implementation of reform. It offers four value propositions that cover  major challenges faced by leaders:  
1.    Support to centres of government to deliver reform 
2.    Help for leaders to define and implement key policies, integrating the ‘what’ with the ‘how’. 
3.    Support for the politics of reform, and strategic communications  
4.    Support for defining and implementing economic development strategies",global,Various discussions with EU institutions related to supporting reform efforts in membership and candidate as well as other countries,,,,,,,3,0.75,,,"Economic and Financial Affairs, Humanitarian Aid, Development, Education, Employment and Social Affairs, Justice and Fundamental Rights, Foreign and Security Policy and Defence, Regional Policy, External Relations, Transport",,,01/04/2015,01/03/2016,,0-9999,,0-99999,,,,,
874858322528-13,30/06/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Communication & Institutions (C&I),France - Société par actions simplifiée,http://cominst.com,France,"32, rue Notre-Dame-des-Victoires",Paris,75002,,(+33)147425300,,,,,,Olivier Le Picard,Président,Fabrice Alexandre,Directeur associé,"Premier cabinet indépendant en France spécialisé en lobbying et en affaires publiques, C&I conseille depuis 1983 les entreprises, les organisations professionnelles, les collectivités territoriales et les États dans leurs relations avec les pouvoirs publics, les médias et tous les acteurs impliqués dans la décision publique.","European, national",Réforme de la PAC pour l'après 2020,,,,,,,1,0.25,1,JASSON Marc Antoine,"Agriculture and Rural Development, Employment and Social Affairs",,,01/01/2015,01/12/2015,,25000-49999,,0-99999,Union Internationale des Planteurs de Tabac,,,,
113997421683-04,06/05/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,"European Center for Services, Investments and Financing (ECSIF)",Ltd.,http://www.ecsif.eu,United Kingdom,"71-75 Shelton Street, Covent Garden, WC2H9JQ, London, United Kingdom",London,WC2H9JQ,,(+44)2038086984,,,,,,Daniel - Ioan DUMITRESCU,Director,Daniel - Ioan DUMITRESCU,Director,"""We guide and empower Financial ​Institutions, SMEs and Professionals to beneficiate of European Finance (Financial Instruments and Grants) through information, training and consulting.""  
 
ECSIF Ltd. is a London company specialized in the use of European funds in both of its forms (grants and financial instruments). If untill 2013, our main focus was on helping SMEs understand and access grants from national and European sources, beggining with 2014 we'we exteded our expertise by assisting Financial Organizations accessing European financial instruments. Not the last, we help professionals with financial background to fully use their experience in order to accept new professional challenges in new innovative Financial Institutions, European projects or new ventures (i.e. fintech start-ups) where high expertise is required.  
 
ECSIF activity is divided in 3 main areas: 
1. Disemnation of information (through conferences, seminars and other forms of events); 
2. Financial education (through seminars, courses and beggining with fall 2016, also online); 
3. Consulting & Project Management (for grants and financial instruments). 
 
We can assist the following types of clients: 
1. Financial Institutions or Organizations; 
2. SMEs; 
3. Financial Professionals. 
 
ECSIF Ltd. is active especially in the SME's area of Access To Finace, EU funds for R&D and Innovation. We enjoy supporting the academic public, financial organizations, SME’s and entrepreneurs through conferences, trainings and consulting. Untill now, ECSIF Ltd. conducted more than 50 trainings & lectures in European funds, traditional and alternative finance for SMEs. ECSIF Ltd. Events are made in collaboration with local partners all across Europe and tackles subjects related to European funding opportunities for SMEs and Financial Institutions. The conferences provide participants with updated information on the launch of European programs, news in the field of traditional financial products (loans, guarantees, insurance) and alternative financial products (venture capital equity, business angels finance and crowdfunding) that can be acessed for SME's development and investments.",European,-,"Events: 
 
European Opportunities and STartup Grants 
 
Master the European Grants for SMEs 
 
Master the European Financial Instruments",,,"The Director of the Company, Daniel - Ioan Dumitrescu was part of: 
1.TAIEX Study Visit on Legal Framework and Experience of Functioning of Credit Guarantee Funds for SMEs INT MARKT IND/STUD 51980; 
2. External Expert for the European commission, Research Executive Agency, Executeive Agency for SMEs for Proposal Evaluation under the Horizon 2020, SME Instrument.",,,1,0.5,,,"Agriculture and Rural Development, Audiovisual and Media, Culture, Development, Education, Energy, Enterprise, Youth, Fisheries and Aquaculture, Regional Policy, Research and Technology, Sport, Financial Stability, Financial Services and Capital Markets Union",,,,,0,,0,,,,,,
431333321402-02,18/04/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,American Continental Group - Analytics (ACGA),Corporation,http://www.acg-analytics.com,United States,1800 M Street NW Suite 500 S,"Washington, DC",20036,,(+1)2023278100,,,,,,David Metzner,Managing Partner,David Metzner,Managing Partner,"ACG Analytics is an independent public policy research firm. Our research focuses on specific policy issues and actions in the United States, the European Union, Asia, and Latin America.","European, global","EU Civil Protection Mechanism 
Provision of emergency support within the Union 
Situation in the Mediterranean and need for a holistic EU approach to migration",,,,,,,2,0.5,,,"Economic and Financial Affairs, Humanitarian Aid, Budget, Competition, Development, Enterprise, Taxation, Justice and Fundamental Rights, Regional Policy, Home Affairs, Financial Stability, Financial Services and Capital Markets Union",,,01/01/2015,01/12/2015,,10000-24999,,0-99999,,,,,
778320821594-95,29/04/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,HAL9000Limited (HAL9000),UK Registered Company,http://hal9000ltd.eu,United Kingdom,"Charlton Street, 41",London,NW1 1JD,SDG,(+44)2075542222,HAL9000 Square Marie Louise 42,Bruxelles,1000,Eurfigest,(+32)22316333,Mattia CROSETTO,CEO,Francesco LAURI,EU Relation Manager,"Incorporated in London in 2000, HAL9000 Limited groups economists, lawyers and communication experts for providing advise in special and aided finance, institutional relations and strategic communication. We work with local, national and international institutions among which the European Commission, the European Investment Bank, the European Bank for Reconstruction and Development, the World Bank Group and the main regional development banks. We are engaged in development projects for private and public entities with special attention for territory and inner cultural identities. We think in terms of what is appropriate and of how to add a tangible added value to a Client's specific project. Although our roots come from London, we also have operational offices in Brussels, Rome and Zlín (Czech Republic). The first is our base for the activities with the European Union, the second hosts our Unit for the Mediterranean Region and the third is our antenna for Central and Eastern Europe.","European, national, regional/local","Cohesion and Structural Funds 
Regional Policy 
EU Transport Networks (EU Corridors) 
Scientific Research and Technology Development programs and initiatives 
Small and Medium Enterprises Policy 
Environment Protection 
Healthcare models and protection of consumers in the field of healthcare 
Neighbourhood Policy and Mediterranean Policy 
Culture and Education Policies","Baltic Adriatic Corridor (Policy & Technical Papers) 
Organisation of Open Days events 
CoR seminars and events",,,,,,3,2,,,"General and Institutional Affairs, Agriculture and Rural Development, Humanitarian Aid, Audiovisual and Media, Competition, Consumer Affairs, Culture, Development, Education, Enlargement, Employment and Social Affairs, Energy, Enterprise, Environment, Youth, Internal Market, Fisheries and Aquaculture, Regional Policy, Research and Technology, External Relations, Trans-European Networks, Public Health, Food Safety, Information Society, Sport, Transport, Communication",,,01/04/2015,01/04/2016,,25000-49999,,0-99999,Universita' di Roma Tor Vergata,,,,
982017022863-50,29/07/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Research and Innovation Management GmbH (RIM),GmbH,http://www.research-and-innovation-management.com,Austria,Marktplatz 7A,Neumarkt an der Ybbs,3371,,(+43)6644212920,,,,,,Fellnhofer Katharina,Geschäftsführende Gesellschafterin,Fellnhofer Katharina,Geschäftsführende Gesellschafterin,"Research and Innovation Management GmbH is a privately owned management consulting firm that supports companies in planning and developing pioneering projects. We address the future-oriented structuring of research and innovation in order to assist enterprises in overcoming new challenges. Drawing on both internal and external experts, Research and Innovation Management GmbH provides practitioners with proven and ground-breaking knowledge to explore and exploit entrepreneurial opportunities. We manage innovative processes with a unique set of services in order to deploy the creative capabilities of all involved resources. We also conduct interdisciplinary research covering a diverse set of different themes. Our portfolio draws on a variety of academic disciplines across the fields of management, education, business, economics and financing. The practical implications for management and business practitioners are fundamental to our research. Our services range from joint research collaborations, seminars and workshops to long-term consulting projects and implementation support. In addition to consulting, we regularly create our own new ICT initiatives.",European,"Investment potential of SME's 
Smart Specialisation Strategies","http://ec.europa.eu/transparency/regexpert/index.cfm?do=groupDetail.groupDetail&groupID=3299&Lang=DE  
 
HORIZON2020 Project ONLINE S3 
 
More information on http://www.research-and-innovation-management.com/",,,http://ec.europa.eu/transparency/regexpert/index.cfm?do=groupDetail.groupDetail&groupID=3299&Lang=DE,,,2,2,,,"Economic and Financial Affairs, Agriculture and Rural Development, Education, Enterprise, Research and Technology, Trans-European Networks, Information Society, Financial Stability, Financial Services and Capital Markets Union",,,,,0,,0,,,,,,
140613422413-59,20/06/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,ICUnet.AG (ICUnet.AG),AG,http://www.icunet.ag,Germany,Fritz-Schäffer-Promenade 1,Passau,94032,,(+49)8519886660,,,,,,"Friedrich Audebert, Dr.",CEO und Gründer,Gereon Müller-Chorus,Netzwerkbildung,"Die ICUnet.AG begleitet Unternehmen und Organisationen weltweit in der Internationalisierung: 
 
Das interdisziplinäre Expertenteam mit Kompetenz für mehr als 75 Länder und 25 Sprachen bereitet jährlich mehrere tausend Fach- und Führungskräfte auf die internationale Zusammenarbeit vor, berät und unterstützt Institutionen und Unternehmen beim Aufbau neuer Standorte in fremden Märkten und revolutioniert Global Mobility. 
 
Die vielfach ausgezeichneten innovativen Kundenlösungen sind eingebettet in einen einzigartigen Ansatz für erfolgreiche Internationalisierung. 
 
Einmal jährlich veranstaltet die ICUnet.AG den Think Tank Europe, eine Netzwerk- und Dissussionsveranstaltung, bei der aktuelle europäische Herausforderungen beleuchtet werden.",global,"Internationale Zusammenarbeit der EU, Nachbarschaftspolitik mit Schwerpunkt Bildung und Forschung, Integration von Flüchtlingen, Diversität","Erasmus+ Student and Alumni Association (ESAA), Interkultureller Kongress der ICUnet.AG",,,,,,4,1,,,"General and Institutional Affairs, Humanitarian Aid, Audiovisual and Media, Culture, Development, Education, Enlargement, Employment and Social Affairs, Enterprise, Youth, Foreign and Security Policy and Defence, Research and Technology, External Relations, Communication",,,01/09/2014,01/08/2015,,50000-99999,,500000-999999,,890000,Directorate General Education and Culture (DG EAC),,
504144221473-32,21/04/2016,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Ridens,sprl,http://www.ridenspa.com,Belgium,rue de l'Industrie 4,Brussels,1000,,(+32)22137420,,,,,,Maurits Bruggink,Managing Director,Maurits Bruggink,Managing Director,Advising clients about EU rules and policies; representing the interests of clients toward the EU institutions,European,"Internal Market 
Raw Materials 
Trade","Associations: EMOTA, CRM Alliance, BeST 
EP Interest groups: e-commerce, critical raw materials",,"Raw Materials Supply Chain 
Ad Hoc Group Critical Raw Materials",,,,4,3.5,,,"Trade, Competition, Consumer Affairs, Customs, Enterprise, Environment, Taxation, Justice and Fundamental Rights, Internal Market, Information Society",,,01/01/2015,01/12/2015,,200000-299999,450000,,BeST,,,,
